"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,"Oxygen tolerance","INSDC genome accesion","BV-BRC genome accession","IMG genome accession"
249,AH2,"DSM 7312, ATCC 49657, LMG 12223, JCM 8315, BCRC 15866, CCM 4368, CCUG 29544, CCUG 30367, CECT 4255, CECT 4256, CIP 103677, CNCTC 5358",0,"Aeromonas enteropelogenes",Bacteria,"facultative anaerobe",GCA_020097295,29489.29,8120681631
265,"546, CDC-RH63","DSM 17534, ATCC 23309, CCEB 704, CCTM 885, CDC RH63, CIP 76.17, LMG 3774, NCIMB 74, JCM 8238, BCRC 13017, BCRC 14134, CCM 4354, CCUG 25942, CCUG 30340, CECT 4224, CNCTC 5356",1,"Aeromonas eucrenophila",Bacteria,"facultative anaerobe",GCA_000819865,649.3,2645727995
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,"Aeromonas fluvialis",Bacteria,"facultative anaerobe",GCA_000819885,591962.3,2639762841
241,"NCIMB(QC) 50013, 543","DSM 30187, ATCC 7966, LMG 2844, NCDC 359-60, NCMB 86, NCTC 8049, WDCM 00063, CCUG 14551, CIP 76.14, JCM 1027, BCRC 13018, CCM 7232, CDC 359-60, CECT 839, HAMBI 1847, IAM 12337, IAM 12460, KCTC 2358, LMG 12156, LMG 13439, NCAIM B.01923, NCIMB 9240",1,"Aeromonas hydrophila subsp. hydrophila",Bacteria,"facultative anaerobe",GCA_000014805,380703.7,639633004
,,,,,,,GCA_018360025,644.645,8119338002
,,,,,,,GCA_900445175,644.200,2906233676
270,Au-1D12,"DSM 17695, CCM 7147, CCUG 46211, CIP 107985, LMG 19707",1,"Aeromonas hydrophila subsp. ranae",Bacteria,"facultative anaerobe",GCA_000820325,208958.3,2645728022
246,115/II,"DSM 6393, ATCC 49904, JCM 8354, NCIMB 13205, CECT 4486, CIP 104613, LMG 12645",1,"Aeromonas ichthiosmia",Bacteria,"facultative anaerobe",GCA_000820365,654.26,2648501198
254,0787-80,"DSM 7311, ATCC 49568, CDC 0787-80, JCM 8316, BCRC 15862, CCM 4355, CCUG 29543, CCUG 30349, CCUG 30353, CECT 4228, CIP 104171, CNCTC 5357, LMG 12221, LMG 13704",1,"Aeromonas jandaei",Bacteria,"facultative anaerobe",GCA_000819955,650.3,2645728043
,,,,,,,GCA_016127195,650.36,8121655826
242,RM,"CCUG 14453, CCM 3653, JCM 2385, LMG 9073, DSM 4881, ATCC 33907, BCRC 12211, BCRC 14129, CECT 4232, CIP 103208, LMG 7907, NCIMB 2237",1,"Aeromonas media",Bacteria,"facultative anaerobe",GCA_000819985,651.7,2645727928
,,,,,,,GCA_018359985,651.66,8116780842
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",Bacteria,"facultative anaerobe",GCA_000388115,1268236.3,2534681676
279,O-a-10-3,"CCUG 39350, ATCC BAA-243, NCIMB 13618, DSM 19604, CCM 4708, CECT 5176, CIP 105493, LMG 17541, DSM 1904",1,"Aeromonas popoffii",Bacteria,"facultative anaerobe",GCA_000820025,70856.3,2648501773
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511, CIP 110301",1,"Aeromonas rivuli",Bacteria,"facultative anaerobe",GCA_000820045,648794.3,2645728067
274,"T. Kimura 1-a-1, I-a-1","DSM 21760, ATCC 27013, CCM 4124, CECT 896, CIP 103210, IFO 13784, JCM 8191, LMG 3782, NCIMB 2020, JCM 7873, JCM 8234, NBRC 13784",1,"Aeromonas salmonicida subsp. masoucida",Bacteria,"facultative anaerobe",GCA_000647955,1216980.4,2576861489
259,"34mel, 34 mel","DSM 12609, CAIM 16, CECT 5752, CCUG 44929, CIP 107036",1,"Aeromonas salmonicida subsp. pectinolytica",Bacteria,"facultative anaerobe",GCA_000447435,1324960.3,2545824637
,,,,,,,GCA_002735225,1324960.19,2851281902
275,20,"DSM 19634, ATCC 33658, CAIM 346, CECT 894, CIP 103209, JCM 7874, LMG 3780, NCIMB 1102, NCTC 12959, GTC 02802, IMET 11051, KCTC 12266, DSM 3241",1,"Aeromonas salmonicida subsp. salmonicida",Bacteria,"facultative anaerobe",GCA_000820065,29491.11,2648501469
,,,,,,,GCA_001643305,29491.22,2744054639
,,,,,,,GCA_900445115,645.114,2879011052
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,"Aeromonas sanarellii",Bacteria,"facultative anaerobe",GCA_000820085,633415.3,2639763092
261,,"DSM 16559, CCUG 47378, CIP 107798, IBS S6874",1,"Aeromonas simiae",Bacteria,"facultative anaerobe",GCA_000820125,218936.3,2648501404
276,"strain 208","DSM 19176, ATCC 43979, CCM 2807, CCUG 14830, CECT 4245, CIP 74.33, JCM 2139, LMG 3783, NCIMB 12065, NCTC 12979, CIP 74-33, BCRC 13066, CECT 837, HAMBI 1974, LMG 12159, VTT E-032002",1,"Aeromonas sobria",Bacteria,"facultative anaerobe",GCA_000820145,646.4,2639763156
,,,,,,,GCA_018359945,646.37,8116772064
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,"Aeromonas taiwanensis",Bacteria,"facultative anaerobe",GCA_000699185,633417.3,2585427983
,,,,,,,GCA_000820165,633417.4,2651869660
256,,"CCUG 56447, CIP 107763, NCIM 5147, CCM 7323, CECT 5761, DSM 17676, MTCC 3249, NCIMB 5147",0,"Aeromonas veronii",Bacteria,"facultative anaerobe",GCA_000820285,654.25,2645727532
1782,34632,"DSM 17499, CCUG 43108, CIP 106344",1,"Afipia birgiae",Bacteria,"facultative anaerobe",GCA_000308295,1197906.5,2551306146
1781,34633,"DSM 17498, CCUG 45153, CIP 107022",1,"Afipia massiliensis",Bacteria,"facultative anaerobe",GCA_014203115,211460.6,2861716478
11752,277/49-50(8),"DSM 8324, ATCC 33384, CCUG 13227, CIP 52.106, NCTC 9710",1,"Aggregatibacter actinomycetemcomitans",Bacteria,"facultative anaerobe",GCA_000372365,1120957.3,2515154019
135780,,"CIP 70.73, ATCC 33389, CCUG 3715, NCTC 5906",1,"Aggregatibacter aphrophilus",Bacteria,"facultative anaerobe",GCA_000226495,985008.3,2537561844
,,,,,,,GCA_900636915,985008.4,2841352428
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,"Aggregatilinea lenta",Bacteria,"facultative anaerobe",GCA_003569045,913108.7,2967508864
6668,,"DSM 18527, JCM 14202, NRIC 0689, CIP 109571",1,"Agrilactobacillus composti",Bacteria,"facultative anaerobe",GCA_000583695,1236950.3,2576861770
,,,,,,,GCA_001436375,1423734.3,2700989152
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,"Agrilactobacillus yilanensis",Bacteria,"facultative anaerobe",GCA_003946725,2485997.3,2885664702
7262,,"DSM 8596, ATCC 51763, IMET 11532, VKM Ac-1351, JCM 9084, CIP 103634, IAM 15141, IFO 15783, LMG 16157, NBRC 15783",1,"Agromyces cerinus subsp. nitratus",Bacteria,"facultative anaerobe",GCA_016907835,33878.3,2893688764
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,"Aidingimonas halophila",Bacteria,"facultative anaerobe",GCA_014651655,574349.7,8062755811
,,,,,,,GCA_900106955,574349.3,2693429859
5480,"M-3Alg 15-1","DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,"Algibacter lectus",Bacteria,"facultative anaerobe",GCA_900112395,221126.12,2634166310
134276,,"KCTC 127105, LMG 23988, KMM 6171T, CIP 109749, KCTC 12710, KMM 6171",1,"Algibacter mikhailovii",Bacteria,"facultative anaerobe",GCA_014651495,425498.3,2995414834
17704,,"DSM 23399, CCUG 47101, KMM 3958, LMG 21971, CIP 108555",1,"Algoriphagus aquimarinus",Bacteria,"facultative anaerobe",GCA_900112005,237018.6,2634166319
17705,,"CIP 108556, DSM 19830, CCUG 47095, KMM 3957, LMG 21970",1,"Algoriphagus chordae",Bacteria,"facultative anaerobe",GCA_003254055,237019.4,2593339285
166424,F3105,"MCCC 1H00223, KCTC 52891",1,"Aliidiomarina celeris",Bacteria,"facultative anaerobe",GCA_003316875,2249428.3,2831692965
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,"Aliidiomarina iranensis",Bacteria,"facultative anaerobe",GCA_003987135,1434071.3,2889949872
140832,2W32,"KCTC 42497, CICC 23869",1,"Fodinibius halophilus",Bacteria,"facultative anaerobe",GCA_011059105,1736908.4,2890260962
24787,,"DSM 21986, ACCC 10715, KCTC 23442, YIM D15",1,"Fodinibius roseus",Bacteria,"facultative anaerobe",GCA_900129315,1194090.4,2695420936
17254,,"DSM 23419, CECT 7228, LMG 23869, CMJ 11.1",1,"Aliivibrio finisterrensis",Bacteria,"facultative anaerobe",GCA_008933155,511998.14,8111595285
