"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,domain,"Oxygen tolerance","INSDC genome accesion","BV-BRC genome accession","IMG genome accession"
11283,S3-22,"DSM 22306, CCTCC AB 209086, KACC 14056",1,"Neptunomonas antarctica",Bacteria,"facultative aerobe",GCA_001305295,619304.6,2645727840
,,,,,,,GCA_900156635,619304.5,2681813508
140601,2-2-12-1,"CGMCC 1.15320, LMG 29090",1,"Nitratireductor aestuarii",Bacteria,"facultative aerobe",GCA_014641695,1735103.3,2995399541
11871,NL21,"DSM 15645, ATCC BAA-762, JCM 21793, CGMCC 1.8928, IAM 15348",1,"Nitratireductor aquibiodomus",Bacteria,"facultative aerobe",GCA_000615975,1231185.4,2585427885
11628,"T 98, T98","DSM 17842, CCBAU 10203, CIP 110608",1,"Paenibacillus forsythiae",Bacteria,"facultative aerobe",GCA_031954385,365616.4,2926669167
140630,SE-S21,"JCM 30137, KACC 18127, LMG 30175",1,"Pandoraea terrae",Bacteria,"facultative aerobe",GCA_902459695,1537710.3,2901612924
158708,BN5,"KACC 19419, JCM 32303",1,"Paraburkholderia aromaticivorans",Bacteria,"facultative aerobe",GCA_002278075,2026199.3,2775506701
8209,,"DSM 21586, KCCM 42363, NBRC 102354, IMCC 1704",1,"Perlucidibaca piscinae",Bacteria,"facultative aerobe",GCA_000420045,1122951.3,2524614877
140486,P03D4,"KCTC 52365, MCCC 1K03200, CGMCC 1.15764, JCM 31445",1,"Photobacterium alginatilyticum",Bacteria,"facultative aerobe",GCA_009910675,1775171.3,2905545480
164329,,"JCM 32689, KCTC 62619, MCCC 1K03517, BEI 247",1,"Photobacterium chitinilyticum",Bacteria,"facultative aerobe",GCA_004104355,2485123.3,2885236679
3026,CC-21,"DSM 21352, CCUG 54492, CIP 109510",1,"Pseudacidovorax intermedius",Bacteria,"facultative aerobe",GCA_003350475,433924.4,2770939510
140034,"E407-8, E407.8","DSM 22401, CCTCC AB 209089, KACC 14030, CCTCC AB 20908",1,"Rheinheimera nanhaiensis",Bacteria,"facultative aerobe",GCA_000296695,562729.3,2531839457
13749,"7Vi, JA 181, JA181","DSM 17937, ATCC BAA-1274, JCM 13531, CIP 109728",1,"Rhodovulum visakhapatnamense",Bacteria,"facultative aerobe",GCA_004365965,364297.3,2802428856
5634,"8151, RCP-8151","DSM 24015, LMG 26094",1,"Riemerella columbipharyngis",Bacteria,"facultative aerobe",GCA_900101995,1071918.3,2675903161
140994,BSS09,"KCTC 52373, MCCC 1K03201",1,"Roseibium sediminis",Bacteria,"facultative aerobe",GCA_008711325,1775174.3,2889952345
164421,DB1506,"JCM 32945, KACC 19791",1,"Roseicella frigidaeris",Bacteria,"facultative aerobe",GCA_003258945,2230885.3,2994101869
13962,JA135,"DSM 18985, ATCC BAA-1364, JCM 14191",1,"Roseospira goensis",Bacteria,"facultative aerobe",GCA_014197795,391922.3,2838110688
13963,JA131,"DSM 19947, ATCC BAA-1365, JCM 14190",1,"Roseospira visakhapatnamensis",Bacteria,"facultative aerobe",GCA_014197915,390880.3,2838118685
24503,MA1-6,"DSM 27839, CCUG 60744, KCTC 23463",1,"Ruegeria halocynthiae",Bacteria,"facultative aerobe",GCA_900106805,985054.8,2693429872
5734,BH206,"DSM 19287, KCTC 12883",1,"Salinimicrobium xinjiangense",Bacteria,"facultative aerobe",GCA_000423585,1123235.4,2524023136
11945,,"DSM 18645, MPL 7",1,"Schlesneria paludicola",Bacteria,"facultative aerobe",GCA_000255655,1123242.3,2548877001
14085,"F5, fav-2-10-05","DSM 21332, CIP 110229, LMG 24563",1,"Shewanella corallii",Bacteria,"facultative aerobe",GCA_023349125,560080.9,8045928163
158555,D1,"KACC 18595, JCM 31225",1,"Sphingobacterium humi",Bacteria,"facultative aerobe",GCA_009768885,1796905.3,2896301657
14676,"KS-SP60, KS-SP 60","DSM 25293, CCUG 58238, LMG 25332, CCM 7896, CIP 110234",1,"Staphylococcus devriesei",Bacteria,"facultative aerobe",GCA_002902625,586733.6,2917466835
14848,MV1,"CCUG 66490, DSM 23027, CECT 7613",1,"Streptococcus lactarius",Bacteria,"facultative aerobe",GCA_016642265,684066.7,8112262180
164455,JDX10,"JCM 33126, KCTC 49242, MCCC 1H00351",1,"Tessaracoccus antarcticus",Bacteria,"facultative aerobe",GCA_003688855,2479848.3,2835223424
5258,"Jenil, JS","CCUG 52901, DSM 16501, KCTC 3924, LMG 22864, JCM 18085, CIP 108884, NBRC 106072",1,"Tetragenococcus koreensis",Bacteria,"facultative aerobe",GCA_003795145,290335.3,2836819050
5259,T1,"DSM 23765, LMG 26041, LMG 10702, JCM 31126",1,"Tetragenococcus osmophilus",Bacteria,"facultative aerobe",GCA_003795125,526944.4,2836821788
13785,,"DSM 23402, KCCM 42378, NBRC 102038, HTCC 2662, CIP 109709",0,"Tritonibacter mobilis",Bacteria,"facultative aerobe",GCA_001681735,379347.144,2816332506
158724,AR23208,"KCTC 33929, JCM 32188",1,"Tumebacillus avium",Bacteria,"facultative aerobe",GCA_002162355,1903704.3,2987081222
157132,MBLW1,"CCUG 69661, DSM 105045",1,"Tuwongella immobilis",Bacteria,"facultative aerobe",GCA_901538355,692036.5,2883404505
140716,D7T301,"KCTC 21069, JCM 31178",1,"Vagococcus martis",Bacteria,"facultative aerobe",GCA_002026305,1768210.4,2987187325
17368,G21,"DSM 22851, CGMCC 1.10228",1,"Vibrio xiamenensis",Bacteria,"facultative aerobe",GCA_900100015,861298.3,2617270927
