,PF05721.19,PF00115.25,PF01152.27,PF08530.16,PF00042.28,PF02906.19,PF00916.26,PF17773.7,PF05425.18,PF01521.26,PF03063.25,PF13597.11,PF00116.26,PF16870.10,PF02579.22,PF17910.6,PF10371.14,PF00296.26,PF01871.22,PF00510.24,Oxygen2
4374,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3066,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1821,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3268,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
4217,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
816,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1
4869,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
2002,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
1308,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1167,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0
30,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0
4819,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
1796,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1575,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4032,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
2445,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0
3068,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1733,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1154,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1
4073,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
392,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
428,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3821,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1886,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
2615,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1744,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0
3788,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
327,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
4288,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
197,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
1671,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
4715,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2089,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0
2606,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2242,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1210,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
1292,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0
2381,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
3746,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
702,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
1458,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
726,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
3645,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
3057,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
3078,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
1424,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
5181,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
3954,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0
2939,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
1360,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1
3547,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0
5514,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
4197,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0
4932,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
3399,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
4498,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1
2327,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
1355,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
2284,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
5298,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
3440,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
46,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1
371,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
27,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
3472,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0
3347,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
3942,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0
5242,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0
5337,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1
4097,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
4804,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
3987,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1
1569,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0
2328,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0
354,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1
3408,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
345,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
4387,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
165,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1
1380,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1
845,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
1817,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
737,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
5073,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0
