,sample_idx,true_class,PF05721.19,PF00115.25,PF01152.27,PF08530.16,PF00042.28,PF02906.19,PF00916.26,PF17773.7,PF05425.18,PF01521.26,PF03063.25,PF13597.11,PF00116.26,PF16870.10,PF02579.22,PF17910.6,PF10371.14,PF00296.26,PF01871.22,PF00510.24
3138,20,0,-0.37879173473005046,-0.038130596033036354,-0.06741924324960427,0.027488444972384993,0.0665090746182951,-0.07420308724682825,-0.04938548248411275,-0.2383690421902914,0.033971470033088806,-0.07378314495830039,-0.1761278164489364,-0.43885684619571824,-0.046062680204926654,-0.16890775976850378,-0.07093975368740794,-0.14507577454841183,-0.1564826086748555,-0.18646528117302366,-0.07932612276952151,-0.42837271648711145
3154,21,0,0.25744497012574363,-0.02607126549788749,-0.3540704329686859,-0.008082555950668714,0.09373596836736346,-0.07661522277742247,-0.002889672209621889,-0.3716067532833338,-0.07717064931925972,-0.05596224875444722,-0.14791910584257736,-0.5051254880610305,-0.06198045988600245,-0.15553543820350393,-0.07383423590979098,-0.15654614673904085,-0.16084777404032027,-0.19889693909968267,-0.1231764799168788,-0.36554986880783086
2485,22,0,0.3082530616998001,-0.030658708725924095,-0.3696473501626702,0.0062929931903326465,0.06915284015917406,-0.06682868415577208,0.035624891884235836,0.2376054268634866,-0.09144381231140601,-0.057476877639774555,-0.13884790619226087,-0.54325477702339,-0.08038218367539741,-0.21680449922140346,-0.07207503523740626,-0.1904382397112181,-0.22924545889930018,-0.2253514134268599,-0.13253294070420327,-0.4515253969476662
4324,23,0,-0.32944819841010187,-0.03973665033374169,-0.06667258383355748,0.09524948380887831,-0.09784807615267989,-0.07050375472019264,-0.05009462813533683,-0.1998872245766382,-0.05546914069670478,-0.06353984751080595,-0.17678025667508632,-0.40063780907098495,-0.04849544438546958,-0.1519209136227145,-0.06361482137480956,-0.0997503174385904,-0.1346287195678742,-0.22298410945444472,-0.07111079512037594,-0.35904999217352257
457,24,0,-0.32944819841010187,-0.03973665033374169,-0.06667258383355748,0.09524948380887831,-0.09784807615267989,-0.07050375472019264,-0.05009462813533683,-0.1998872245766382,-0.05546914069670478,-0.06353984751080595,-0.17678025667508632,-0.40063780907098495,-0.04849544438546958,-0.1519209136227145,-0.06361482137480956,-0.0997503174385904,-0.1346287195678742,-0.22298410945444472,-0.07111079512037594,-0.35904999217352257
2768,25,0,-0.43017827874899434,-0.038596139854475436,-0.08863495298001946,-0.052470771483530375,0.11772400422259223,-0.072616746602246,-0.05137428840264271,-0.2225235943915095,-0.058425785326330935,-0.08184477726258105,-0.1759979773518809,-0.3171931034539656,-0.04427505052103608,-0.16729147507937422,-0.07572338111229387,-0.13046250744052978,-0.12692091895348875,-0.21085597161692363,-0.07589019410669971,-0.33473246081029434
698,26,0,0.2805029592999455,-0.050009333883543984,-0.1816005566171289,-0.25289173130990256,-0.2736799528109083,-0.06144020256139626,-0.10066083166926863,-0.28246246089808863,-0.05321507590246663,-0.06794300645404877,-0.1738483039770546,0.7583578191556252,-0.06067053867680447,-0.14594643441742647,-0.025973117337251373,-0.07775629748062703,-0.12678205545683188,-0.19828446813611655,-0.0938419100046352,-0.35969621243168864
2754,27,0,-0.5763967527103321,-0.041127785831447106,-0.2912481612073747,-0.14728433340605354,-0.2384760744648012,-0.07090429878071756,-0.07282358521558482,0.0107490410195066,-0.05898537342807622,-0.06990166843964109,-0.17250789038554484,-0.2945484247957368,-0.056843725491086954,-0.20281763075493767,-0.07919982604901118,-0.1317079839482508,-0.1616707681228845,-0.2995982955456887,-0.07998316398201764,-0.47195758698798124
549,28,1,0.14194438084340197,0.2496500819718982,0.09751373361461486,0.10612433114301538,0.03375973442044559,0.3607007174243753,-0.25073694603040947,0.24134037168516065,0.03212581951351861,0.3636329793254016,0.40036995509493384,0.22197404886400804,0.2319729691294252,0.3971275103795609,0.19046870542346914,0.3671540815519449,-0.3730847077951591,0.485456799376991,0.5106940002215908,0.7594783024618764
4375,29,0,-0.35923634312992353,-0.055533049577714134,-0.17652014596600538,-0.0009526277148933678,0.026681199769656928,-0.06936865306150371,-0.0537285447071171,-0.3074837511146216,-0.059198361947403466,-0.10349733235599141,-0.2507651612173808,-0.3348157372179989,-0.08027840379136146,-0.2172439511651103,-0.1599106548156072,-0.16182406486922896,-0.10073547383555422,0.23038229257162057,-0.08458592801336169,-0.4412028079044828
1941,30,0,0.248716930750459,-0.057539919073439506,-0.1525198334316999,-0.016378571963105583,0.09523088470218072,-0.0687094775907701,-0.08483577033343893,-0.37844954490824506,-0.05630847554058308,-0.05536553723231618,-0.1722824253485751,-0.5201441814754316,-0.06042222823976007,-0.1483410362463004,0.29680694283287545,-0.11842849748700542,-0.14570618337107358,-0.23037944418613157,-0.12001268035098926,-0.3485677138692836
5103,31,0,-0.32944819841010187,-0.03973665033374169,-0.06667258383355748,0.09524948380887831,-0.09784807615267989,-0.07050375472019264,-0.05009462813533683,-0.1998872245766382,-0.05546914069670478,-0.06353984751080595,-0.17678025667508632,-0.40063780907098495,-0.04849544438546958,-0.1519209136227145,-0.06361482137480956,-0.0997503174385904,-0.1346287195678742,-0.22298410945444472,-0.07111079512037594,-0.35904999217352257
4175,32,0,0.277525546620265,-0.018560396696097575,0.35915405154480595,0.01601742826045915,0.0900845810178731,-0.06479844426884834,0.31299790551833523,0.370258737568346,0.06965833947408091,-0.09076016240258927,-0.12919272601252318,-0.38552207355833673,-0.11077990602732064,-0.29992583828044883,-0.14069613549342072,-0.20384724966099196,-0.20075806604262045,0.29789639463548245,-0.14067470017605296,-0.6197263553761574
821,33,0,0.2516385758685055,-0.039241914401854344,-0.09792175756166589,-0.005578783233125502,0.09788469867056675,-0.07226345651745966,-0.044946082222645206,-0.36803950374388483,-0.061976842986095175,-0.05881276422210954,-0.1701407575178546,-0.5650507038936888,-0.05550155222414752,-0.15129264269106152,-0.03766007819632423,-0.13309668054850013,-0.19084956888240892,-0.15747493548144845,-0.10580655212617768,-0.34416016549202055
2727,34,0,0.19989040125660984,-0.040768133303258035,-0.21732364065806023,-0.07817933219072737,0.22323700848215913,-0.16420459745486715,-0.09964614620088774,-0.5526557028075905,0.06613118174831638,-0.09305331100564006,0.6306821990025134,-0.3618659675967313,-0.04793713916787975,0.6496025120635011,-0.025382980381615582,0.21502441315913468,-0.21753687224482288,-0.4593420193932089,-0.10372715010719709,-0.37728687141052464
314,35,1,0.12507503690065455,0.2345511795731815,0.13405129725227172,0.10474579109776255,0.009368509809743531,0.5408208321016388,-0.27049043750697027,0.34654054977900645,0.03832025661823828,0.48191990139324387,-0.19814738071659485,0.3522161769857832,0.15404452213541464,0.5030881705511593,0.17881839273525502,0.3054373541331724,-0.27815139710660836,0.43866718007134037,-0.10831429183555857,0.8314569374422124
